search_query,job_title,company,loc,posting_recency,employment_type,work_arrangement_type,experience_lvl,skill,min_years_of_exp
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,IT/Software Development,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Project/Program Management,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Project Management,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Engineering,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Computer Science,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Information Technology (IT),3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,PMP,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Software Development,3.0
Data Engineer,Senior Project Surveyor,AECOM,"Dubai,United Arab Emirates",22 days ago,Freelance / Project,Remote,Experienced,Management,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Project/Program Management,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Sales/Retail,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Sales,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Sales Skills,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Customer Service,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Project Management,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Marketing,3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Information Technology (IT),3.0
Data Engineer,Senior Manager - Group Insurance,Transguard Group,"Dubai,United Arab Emirates",22 days ago,Full Time,On-site,Experienced,Customer Support,3.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Engineering - Construction/Civil/Architecture,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Project/Program Management,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Engineering - Mechanical/Electrical,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Project Management,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Engineering,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Cost Estimation,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Tendering,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Civil Engineering,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Construction,1.0
Data Engineer,Projects Estimator,AALICO,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Estimation,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Customer Service/Support,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,IT/Software Development,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Engineering - Telecom/Technology,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Customer Service,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Customer Support,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Customer Care,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Information Technology (IT),1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Computer Science,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Technical Support,1.0
Data Engineer,Customer Support Specialist (Remote),Pulse Media,"Dubai,United Arab Emirates",23 days ago,Full Time,Remote,Entry Level,Call Center,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,IT/Software Development,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Marketing/PR/Advertising,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,Engineering - Telecom/Technology,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,information technology (it),1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,computer engineering,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,computer science,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,ftp,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,firewall,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,vpn,1.0
Data Engineer,Cybersecurity Specialist,SYSTRA,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Entry Level,design,1.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Construction/Civil/Architecture,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Mechanical/Electrical,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Other,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Civil Engineering,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Architecture,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,AutoCAD,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Construction,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Quantity Surveyor,3.0
Data Engineer,Quantity Surveyor,AECOM,"Makkah,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Microsoft Office,3.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,Analyst/Research,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,Engineering - Mechanical/Electrical,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,Engineering - Oil & Gas/Energy,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,cvs3,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,etcc,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,energy,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,engineering,1.0
Data Engineer,Postdoctoral Fellow,"United Arab Emirates University, Department of Family Medicine","Dubai,United Arab Emirates",23 days ago,Full Time,On-site,Entry Level,phd,1.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Sales/Retail,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,sales,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,information technology (it),3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,computer science,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,engineering,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,marketing,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,retail,3.0
Data Engineer,Consultant Luxury Tech - Riyadh Park,Chalhoub Group,"Riyadh,Saudi Arabia",22 days ago,Full Time,On-site,Experienced,social media,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,IT/Software Development,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Project/Program Management,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Engineering - Telecom/Technology,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Information Technology (IT),3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Computer Science,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Project Management,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Engineering,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Software Development,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Computer Engineering,3.0
Data Engineer,IT Manager,Burjline Builders,"Riyadh,Saudi Arabia",23 days ago,Full Time,On-site,Experienced,Management,3.0
Data Engineer,Chief Information Security Officer,Foreground.,"Riyadh,Saudi Arabia",25 days ago,Full Time,On-site,Senior Management,Installation/Maintenance/Repair,10.0
Data Engineer,Chief Information Security Officer,Foreground.,"Riyadh,Saudi Arabia",25 days ago,Full Time,On-site,Senior Management,IT/Software Development,10.0
